Yacimiento,IDmuestra,Fecha BP,Desviacion,Adscripcion,REF,Provincia,Comentarios
Abric de la Falguera,AA59519,7526,44,Mesolithic,García Puchol & Aura Tortosa 2006,Alacant,
Abric de la Falguera,AA2295,7410,70,Mesolithic,García Puchol & Aura Tortosa 2006,Alacant,
Abric de la Falguera,Beta267441,7380,40,Mesolithic,García Puchol & Juan Cabanilles 2013,Alacant,
Abric de la Falguera,Beta171909,7280,40,Mesolithic,García Puchol & Aura Tortosa 2006,Alacant,
Abric de la Falguera,Beta142289,6510,80,Neolithic,García Puchol & Aura Tortosa 2006,Alacant,
Abrigo de Angel 1,GrA27274,7435,45,Mesolithic,Utrilla et al. 2009,Teruel,
Abrigo de Angel 1,GrA27278,7955,45,Mesolithic,Utrilla et al. 2009,Teruel,
Abrigo de los Baños,GrN24300,7570,100,Mesolithic,Utrilla et al. 2009,Teruel,
Abrigo de los Baños,GrA21551,7550,50,Mesolithic,Utrilla et al. 2009,Teruel,
Abrigo de los Baños,GrA21550,7350,50,Mesolithic,Utrilla et al. 2009,Teruel,
Abrigo de los Baños,GrA21552,7740,50,Mesolithic,Utrilla et al. 2009,Teruel,
Abrigo de los Baños,GrN24299,7840,100,Mesolithic,Utrilla et al. 2009,Teruel,
Alonso Norte,DAMS018640,6069,27,Neolithic,Laborda 2018,Teruel,
Arenal de la Virgen,Beta243772,7750,40,Mesolithic,Fernández López de Pablo et al. 2011,Alacant,
Barranc de Fabra,Beta61490,5880,110,Neolithic,Bosch et al. 1996,Tarragona,
Benamer,CNA680,7490,50,Mesolithic,Torregrosa et al. 2011,Alacant,
Benamer,Beta287331,7480,40,Mesolithic,Torregrosa et al. 2011,Alacant,
Benamer,CNA539,6575,50,Neolithic,Torregrosa et al. 2011,Alacant,
Botiqueria de los Moros,GrA13265,7600,50,Mesolithic,Utrilla et al. 2009,Teruel,
Botiqueria de los Moros,GrA13267,6830,50,Mesolithic,Utrilla et al. 2009,Teruel,
Botiqueria de los Moros,GrA13268,6040,50,Neolithic,Utrilla et al. 2009,Teruel,
Botiqueria de los Moros,GrA13270,6240,50,Neolithic,Utrilla et al. 2009,Teruel,
Can Ballester,I10463,6950,120,Mesolithic,Olaria 1997,Castelló,
Can Roqueta II,Beta189076,6400,50,Neolithic,Carls et al. 2010,Barcelona,
Can Sadurní,Beta230733,7320,50,Mesolithic,Blasco et al. 2011,Barcelona,macrodenticulado
Can Sadurní,UBAR760,6405,70,Neolithic,Blasco et al. 2005,Barcelona,
Can Sadurní,Beta298967,6400,30,Neolithic,Edo et al. 2019,Barcelona,
Can Sadurní,OxA15489,6391,34,Neolithic,Martín et al. 2010,Barcelona,
Can Sadurní,OxA15491,6375,34,Neolithic,Martín et al. 2010,Barcelona,
Can Sadurní,Beta398966,6370,30,Neolithic,Edo et al. 2019,Barcelona,
Can Sadurní,ETH-88890,6451,26,Neolithic,Edo et al. 2022,Barcelona,
Can Sadurní,ETH88891,6434,26,Neolithic,Edo et al. 2022,Barcelona,
Can Xammar,Beta-nd,6270,40,Neolithic,Pou et al. 2005,Barcelona,
Can Xammar,Beta-nd,6150,40,Neolithic,Pou et al. 2005,Barcelona,
Casa Corona,OxAV239292,7116,32,Mesolithic,Fernández López de Pablo et al. 2013,Alacant,
Casa Corona,Beta272856,7070,40,Mesolithic,Fernández López de Pablo et al. 2013,Alacant,
Caserna de Sant Pau,Beta407495,6590,30,Neolithic,Gómez & Molist 2017,Barcelona,
Caserna de Sant Pau,Beta407496,6510,30,Neolithic,Gómez & Molist 2017,Barcelona,
Caserna de Sant Pau,Beta236174,6290,50,Neolithic,Molist et al. 2008,Barcelona,
Caserna de Sant Pau,Beta236175,6250,40,Neolithic,Molist et al. 2008,Barcelona,
Caserna de Sant Pau,Beta407494,6200,30,Neolithic,Gómez & Molist 2017,Barcelona,
Cingle del Mas Cremat,Beta232341,6800,50,Mesolithic,Vizcaino León 2010,Castelló,
Cingle del Mas Cremat,Beta232342,6780,50,Mesolithic,Vizcaino León 2010,Castelló,
Cingle del Mas Cremat,Beta232340,6020,50,Neolithic,Vizcaino León 2010,Castelló,
Cingle del Mas Nou,Beta170714,7010,40,Mesolithic,Olaria 2020,Castelló,
Cingle del Mas Nou,Beta136677,7000,70,Mesolithic,Olaria 2020,Castelló,
Cingle del Mas Nou,OxA236029,6925,35,Mesolithic,Olaria 2020,Castelló,
Cingle del Mas Nou,Beta170715,6920,40,Mesolithic,Olaria 2020,Castelló,
Cingle del Mas Nou,Beta136676,6900,70,Mesolithic,Olaria 2020,Castelló,
Cingle del Mas Nou,OxA236028,6897,34,Mesolithic,Olaria 2020,Castelló,
Cingle del Mas Nou,Beta170713,6760,40,Mesolithic,Olaria 2020,Castelló,
Coll Blanc,LT4417A,6009,50,Neolithic,Bravo et al. 2014,Tarragona,
Costamar,OxA23578,5890,30,Neolithic,Salazar García 2012,Castelló,
Costamar,UCIAMS60738,5965,25,Neolithic,Flors 2009,Castelló,
Costamar,Beta569720,5890,30,Neolithic,Escribá Ruiz 2023,Castelló,
Costamar,Beta547048,5880,30,Neolithic,Escribá Ruiz 2023,Castelló,
Cova Bolumini,Beta569719,6180,30,Neolithic,Escribá Ruiz 2023,Alacant,
Cova Bonica,OxA26062,6340,34,Neolithic,Martins et al. 2015,Barcelona,
Cova Bonica,OxA23647,6158,32,Neolithic,Oms 2014,Barcelona,
Cova Bonica,OxA26063,5983,32,Neolithic,Martins et al. 2015,Barcelona,
Cova Colomera,Beta279478,6180,40,Neolithic,Oms 2008,Lleida,
Cova Colomera,OxA23634,6170,30,Neolithic,Oms et al. 2013,Lleida,
Cova Colomera,Beta240551,6150,40,Neolithic,Oms 2008,Lleida,
Cova Colomera,Beta248523,6020,30,Neolithic,Oms et al. 2013,Lleida,
Cova d'en Pardo,Beta231880,6660,40,Neolithic,Soler Diaz et a. 2011,Alacant,
Cova d'en Pardo,Beta231879,6610,40,Neolithic,Soler Diaz et a. 2011,Alacant,
Cova d'en Pardo,Beta231876,5790,40,Neolithic,Soler et al. 2008,Alacant,
Cova d'en Pardo,Beta231877,6240,40,Neolithic,Soler et al. 2008,Alacant,
Cova de l'Or,UCIAMS66316,6475,25,Neolithic,Martí 2011,Alacant,
Cova de l'Or,Beta298126,6200,40,Neolithic,García Borja et al. 2011,Alacant,
Cova de l'Or,Beta298125,6340,40,Neolithic,García Borja et al. 2011,Alacant,
Cova de l'Or,Beta298124,6290,70,Neolithic,García Borja et al. 2011,Alacant,
Cova de l'Or,H1754/1208,6290,75,Neolithic,Martí 1978,Alacant,
Cova de l'Or,OxA10192,6310,70,Neolithic,Zilhao 2001,Alacant,
Cova de l'Or,OxA10191,6275,70,Neolithic,Zilhao 2001,Alacant,
Cova de l'Or,MAMS19063,6356,23,Neolithic,Olalde et al. 2015,Alacant,
Cova de la Guineu,Beta406998,6140,30,Neolithic,Oms 2014,Barcelona,
Cova de la Sarsa,MAMS19066,6532,24,Neolithic,García Borja et al. 2016,Alacant,
Cova de la Sarsa,MAMS19068,6459,33,Neolithic,García Borja et al. 2016,Alacant,
Cova de la Sarsa,OxA236022,6389,33,Neolithic,García Borja et al. 2012,Alacant,
Cova de la Sarsa,OxA236025,6399,35,Neolithic,García Borja et al. 2012,Alacant,
Cova de la Sarsa,OxA26075,6420,32,Neolithic,García Borja et al. 2012,Alacant,
Cova de la Sarsa,OxA26076,6506,32,Neolithic,García Borja et al. 2012,Alacant,
Cova de la Sarsa,OxA239226,6341,30,Neolithic,García Borja et al. 2012,Alacant,
Cova de la Sarsa,OxA31629,6309,36,Neolithic,Olalde et al. 2015,Alacant,
Cova de les Cendres,Beta75220,6730,80,Neolithic,Bernabeu & Fumanal 2009,Alacant,
Cova de les Cendres,Beta239377,6510,40,Neolithic,Bernabeu & Fumanal 2009,Alacant,
Cova de les Cendres,GifA101360,6490,90,Neolithic,Bernabeu & Fumanal 2009,Alacant,
Cova de les Cendres,ETH107001,6482,25,Neolithic,Escribá Ruiz 2023,Alacant,
Cova de les Cendres,ETH107002,6468,25,Neolithic,Escribá Ruiz 2023,Alacant,
Cova de les Cendres,CNA508711,6413,21,Neolithic,Escribá Ruiz 2023,Alacant,
Cova de les Cendres,ETH107003,6406,25,Neolithic,Escribá Ruiz 2023,Alacant,
Cova de les Cendres,ETH107004,6406,25,Neolithic,Escribá Ruiz 2023,Alacant,
Cova de les Cendres,Beta142288,6340,70,Neolithic,Bernabeu & Fumanal 2009,Alacant,
Cova de les Cendres,CNA508611,6316,30,Neolithic,Escribá Ruiz 2023,Alacant,
Cova de les Cendres,CNA508811,6210,30,Neolithic,Escribá Ruiz 2023,Alacant,
Cova de les Cendres,CNA483411,6224,45,Neolithic,Escribá Ruiz 2023,Alacant,
Cova de les Cendres,CNA483312,6133,37,Neolithic,Escribá Ruiz 2023,Alacant,
Cova de les Cendres,ETH107005,5917,25,Neolithic,Escribá Ruiz 2023,Alacant,
Cova de les Cendres,CNA508511,5955,31,Neolithic,Escribá Ruiz 2023,Alacant,
Cova de les Cendres,Beta75214,5790,70,Neolithic,Bernabeu & Fumanal 2009,Alacant,
Cova de les Cendres,Gif101354,5860,80,Neolithic,Bernabeu & Fumanal 2009,Alacant,
Cova de les Cendres,Gif101356,5930,90,Neolithic,Bernabeu & Fumanal 2009,Alacant,
Cova de les Cendres,Beta75215,5930,80,Neolithic,Bernabeu & Fumanal 2009,Alacant,
Cova de les Cendres,UBAR172,5990,80,Neolithic,Bernabeu & Fumanal 2009,Alacant,
Cova de les Cendres,Beta75216,6010,80,Neolithic,Bernabeu & Fumanal 2009,Alacant,
Cova de les Cendres,GifA101358,5980,100,Neolithic,Bernabeu & Fumanal 2009,Alacant,
Cova de les Cendres,Beta75217,6150,80,Neolithic,Bernabeu & Fumanal 2009,Alacant,
Cova de les Cendres,Beta75218,6260,80,Neolithic,Bernabeu & Fumanal 2009,Alacant,
Cova de les Cendres,Beta75219,6420,80,Neolithic,Bernabeu & Fumanal 2009,Alacant,
Cova de les Cendres,Beta107405,6280,80,Neolithic,Bernabeu & Fumanal 2009,Alacant,
Cova de Sant Llorenç,Beta311605,6750,40,Neolithic,Borrell et al. 2014,Barcelona,"dataci� sobre capra en un nivell amb cer�miques, es antiga per� singular, nivell "
Cova de Sant Llorenç,Beta299597,6200,40,Neolithic,Borrell et al. 2014,Barcelona,
Cova de Sant Llorenç,OxA26072,6004,32,Neolithic,Borrell et al. 2014,Barcelona,
Cova de Sant Llorenç,Beta311605,5910,40,Neolithic,Borrell et al. 2014,Barcelona,
Cova de Sant Llorenç,Beta299598,5860,40,Neolithic,Borrell et al. 2014,Barcelona,
Cova del Frare,Beta325690,6170,32,Neolithic,Oms 2014,Barcelona,
Cova del Frare,Beta325690,6170,40,Neolithic,Martins et al. 2015,Barcelona,
Cova del Frare,Beta436332,6150,40,Neolithic,Navarrete et al. 2017,Barcelona,
Cova del Parco,CSIC281,6170,70,Neolithic,Palomo et al. 2022,Lleida,
Cova del Parco,GrN20058,6120,90,Neolithic,Palomo et al. 2022,Lleida,
Cova del Parco,CSIC403,5970,60,Neolithic,Palomo et al. 2022,Lleida,
Cova del Petrolí,Beta172871,6020,40,Neolithic,Aguilella 2003,Castelló,
Cova del Tabac,Beta547043,6230,30,Neolithic,Vega Bolivar et al. 2021,Lleida,
Cova del Tabac,Beta547041,6150,30,Neolithic,Vega Bolivar et al. 2021,Lleida,
Cova del Tabac,Beta547042,6190,30,Neolithic,Vega Bolivar et al. 2021,Lleida,
Cova del Tabac,Beta547040,6140,30,Neolithic,Vega Bolivar et al. 2021,Lleida,
Cova del Toll,OxA26070,6425,35,Neolithic,Cebrià et al. 2014,Barcelona,
Cova del Toll,OxA26071,6390,40,Neolithic,Cebrià et al. 2014,Barcelona,
Cova del Toll,MC1465,5810,100,Neolithic,Martín 1998,Barcelona,
Cova del Vidre,UBAR832,7290,70,Mesolithic,Morales et al. 2013,Tarragona,
Cova del Vidre,OxA26064,6181,35,Neolithic,Bosch 2016,Tarragona,
Cova del Vidre,OxA26065,6248,33,Neolithic,Bosch 2016,Tarragona,
Cova del Vidre,Beta58934,6180,90,Neolithic,Bosch 2016,Tarragona,
Cova dels Calderons,Beta448625,6590,30,Neolithic,Jover Maestre et al. 2018,Alacant,
Cova dels Calderons,Beta446588,6560,30,Neolithic,Jover Maestre et al. 2018,Alacant,
Cova Foradada,Beta248524,6200,40,Neolithic,Oms et al. 2016,Tarragona,
Cova Fosca,Beta149009,6390,40,Neolithic,Olaria 2000,Castelló,
Cova Fosca,CSIC356,7100,70,Mesolithic,Olaria 2000,Castelló,
Cova Fosca,CSIC357,7210,70,Mesolithic,Olaria 2000,Castelló,
Cova Fosca,CSIC353,7640,110,Mesolithic,Olaria 2000,Castelló,
Cova Fosca,Beta227420,6200,50,Neolithic,Lira et al. 2010,Castelló,
Cova Fosca,Beta222754,6230,50,Neolithic,Lira et al. 2010,Castelló,
Cova Fosca,Poz24720,6100,40,Neolithic,Ludwig et al. 2009,Castelló,
Cova Fosca,Poz24743,6135,35,Neolithic,Ludwig et al. 2009,Castelló,
Cova Fosca,Poz24745,6100,40,Neolithic,Ludwig et al. 2009,Castelló,
Cova Fosca,Poz68357,6255,35,Neolithic,Ludwig et al. 2009,Castelló,
Cova Fosca,Beta247470,5890,50,Neolithic,Llorente 2010,Castelló,
Cova Fosca,Beta247469,5860,40,Neolithic,Llorente 2010,Castelló,
Cova Fosca,Beta247468,5800,40,Neolithic,Llorente 2010,Castelló,
Cova Fosca,Beta247467,5860,40,Neolithic,Llorente 2010,Castelló,
Cova Fosca,Beta247466,5820,50,Neolithic,Llorente 2010,Castelló,
Cova Fosca,Beta148993,5820,40,Neolithic,Olaria 2000,Castelló,
Cova Fosca,Beta148994,5980,70,Neolithic,Olaria 2000,Castelló,
Cova Fosca,Beta148996,5850,70,Neolithic,Olaria 2000,Castelló,
Cova Fosca,Beta148997,5870,80,Neolithic,Olaria 2000,Castelló,
Cova Fosca,Beta148999,5980,70,Neolithic,Olaria 2000,Castelló,
Cova Fosca,Beta149000,6080,80,Neolithic,Olaria 2000,Castelló,
Cova Fosca,Beta149001,6140,90,Neolithic,Olaria 2000,Castelló,
Cova Fosca,Beta149004,6150,70,Neolithic,Olaria 2000,Castelló,
Cova Fosca,Beta149005,6070,80,Neolithic,Olaria 2000,Castelló,
Cova Fosca,Beta149006,6250,80,Neolithic,Olaria 2000,Castelló,
Cova Fosca,Beta149007,6130,60,Neolithic,Olaria 2000,Castelló,
Cova Fosca,Beta149008,5990,110,Neolithic,Olaria 2000,Castelló,
Cova Fosca Vall d'Ebo,OxA26047,6413,33,Neolithic,García Borja et al. 2012,Castelló,
